Predicted Tags,Actual Tags
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,I-geo
O,O
O,B-tim
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,I-geo
O,O
O,B-tim
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-tim
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,B-geo
O,I-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-org
O,I-org
O,I-org
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-org
O,I-org
O,B-tim
O,O
O,B-per
O,I-per
O,I-per
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,I-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-gpe
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-per
O,I-per
O,I-per
O,I-per
O,I-per
O,O
O,O
O,O
O,O
O,O
O,O
O,B-tim
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-per
O,O
O,B-per
O,I-per
O,I-per
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-per
O,I-per
O,I-per
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-org
O,I-org
O,I-org
O,I-org
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-org
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,B-geo
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,B-per
O,I-per
O,I-per
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-per
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-tim
O,O
B-geo,B-geo
O,O
O,B-per
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,I-geo
O,O
O,O
O,B-tim
O,I-tim
O,O
O,O
O,B-tim
O,I-tim
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B-geo
O,O
O,O
O,B-org
O,O
O,O
O,B-org
O,O
O,O
O,B-tim
O,I-tim
O,I-tim
O,O
O,O
O,O
O,O
O,O
O,B-tim
O,I-tim
O,I-tim
O,O
O,B-geo
O,O
O,O
O,B-org
O,O
O,O
O,B-org
O,O
O,O
O,B-tim
O,I-tim
O,I-tim
O,O
O,O
O,O
O,O
O,O
O,B-tim
O,I-tim
O,O
O,O
O,O
